,CustomerID
1361,103345
1362,103350
1363,103230
1364,103360
1365,103309
1366,103356
1367,101704
1368,103369
1369,103314
1370,103335
1371,103374
1372,103377
1373,103337
1374,103295
1375,103338
1376,103395
1377,103394
1378,103391
1379,103379
1380,103319
1381,103397
1382,103390
1383,103403
1384,101861
1385,103387
1386,100594
1387,103364
1388,100225
1389,103407
1390,103419
1391,100411
1392,100884
1393,101522
1394,100684
1395,102302
1396,102034
1397,103325
1398,103434
1399,103431
1400,103447
1401,103439
1402,103435
1403,103436
1404,103424
1405,103448
1406,103449
1407,103521
1408,103444
1409,103433
1410,103430
1411,100117
1412,103522
1413,103523
1414,103538
1415,103537
1416,103534
1417,103533
1418,103543
1419,100264
1420,103420
1421,103524
1422,103536
1423,103415
1424,103421
1425,103514
1426,103481
1427,103453
1428,103549
1429,103493
1430,103504
1431,101328
1432,103546
1433,103557
1434,103560
1435,103472
1436,103469
1437,103496
1438,103470
1439,103567
1440,102213
1441,103574
1442,103452
1443,103579
1444,100974
1445,103580
1446,103583
1447,103589
1448,103591
1449,103581
1450,103572
1451,103610
1452,103561
1453,103375
1454,103611
1455,103519
1456,101000
1457,101515
1458,103621
1459,103595
1460,103631
1461,103614
1462,103628
1463,103639
1464,103603
1465,108779
1466,103606
1467,100370
1468,103612
1469,103643
1470,103641
1471,103647
1472,103650
1473,103575
1474,103627
1475,103592
1476,102144
1477,102229
1478,103353
1479,100775
1480,103651
1481,103664
1482,101534
1483,100265
1484,103501
1485,103672
1486,103669
1487,101071
1488,103674
1489,103675
1490,103503
1491,103677
1492,103577
1493,103687
1494,103683
1495,103662
1496,103695
1497,103682
1498,103645
1499,103642
1500,103688
1501,103697
1502,103670
1503,103694
1504,103691
1505,103569
1506,103708
1507,101298
1508,103653
1509,103722
1510,103724
1511,103728
1512,103727
1513,103734
1514,103623
1515,103554
1516,100259
1517,103737
1518,103553
1519,100105
1520,101849
1521,103747
1522,103721
1523,101971
1524,103745
1525,101608
1526,103655
1527,103764
1528,103756
1529,103723
1530,103768
1531,103705
1532,103766
1533,102090
1534,100466
1535,103763
1536,103769
1537,103785
1538,103775
1539,103791
1540,103781
1541,103801
1542,103735
1543,103451
1544,103752
1545,102269
1546,103765
1547,103803
1548,103805
1549,103823
1550,102299
1551,103816
1552,103827
1553,103831
1554,103829
1555,103807
1556,103657
1557,103839
1558,103837
1559,103810
1560,103849
1561,103850
1562,103853
1563,103846
1564,101390
1565,103863
1566,103861
1567,103852
1568,103854
1569,103870
1570,103787
1571,103784
1572,103762
1573,103877
1574,103843
1575,103845
1576,103841
1577,103467
1578,103844
1579,103690
1580,103862
1581,103883
1582,103873
1583,103894
1584,103857
1585,103893
1586,103833
